date,price,total_volume,market_cap,coin_name
2016-02-28 00:00:00.000,0.8687112111478708,141497.33105831765,9692168.415927447,monero
2016-02-29 00:00:00.000,0.8673022725031021,132474.24526344132,9684821.892644502,monero
2016-03-01 00:00:00.000,0.836026826586615,168483.87310843333,9342106.531277737,monero
2016-03-02 00:00:00.000,0.8291392010639166,130947.52158558511,9274775.977277003,monero
2016-03-03 00:00:00.000,1.076827400662855,815621.6167551387,12055544.709375544,monero
2016-03-04 00:00:00.000,1.169658494669575,800331.1357739719,13106753.29967326,monero
2016-03-05 00:00:00.000,1.190796134592466,1146010.2041722585,13354935.834544271,monero
2016-03-06 00:00:00.000,1.230995366272573,970787.329128095,13817906.98346987,monero
2016-03-07 00:00:00.000,1.035738127621597,481290.5783552036,11636120.140387636,monero
2016-03-08 00:00:00.000,1.166640879393454,377997.76986255095,13118520.863311175,monero
2016-03-09 00:00:00.000,1.228489760067124,861461.8788991348,13825531.8668943,monero
2016-03-10 00:00:00.000,1.089390492412127,396951.8916731292,12271159.228419855,monero
2016-03-11 00:00:00.000,1.101244589492362,134291.1643863377,12415442.514382783,monero
2016-03-12 00:00:00.000,1.161679074400751,339118.1357890826,13108007.96815982,monero
2016-03-13 00:00:00.000,1.240040145427461,263586.07647893205,14003521.634162797,monero
2016-03-14 00:00:00.000,1.112007333545368,202724.7922127841,12568258.27804715,monero
2016-03-15 00:00:00.000,1.142916143746986,211895.99825068263,12929220.58947948,monero
2016-03-16 00:00:00.000,1.147341085119982,154193.25921040418,12990634.050022952,monero
2016-03-17 00:00:00.000,1.284648535548303,518675.0749243585,14557422.668527933,monero
2016-03-18 00:00:00.000,1.14393888155087,400172.5347246676,12971261.394509982,monero
2016-03-19 00:00:00.000,1.211771514765918,268648.2193874925,13740423.830284031,monero
2016-03-20 00:00:00.000,1.476868615527896,1023253.579533456,16746391.932573292,monero
2016-03-21 00:00:00.000,1.453015396808419,808414.6084729813,16475917.399273677,monero
2016-03-22 00:00:00.000,1.363075517243437,561456.7964574654,15511684.887886863,monero
2016-03-23 00:00:00.000,1.457812266607019,469646.3079220882,16601751.234278591,monero
2016-03-24 00:00:00.000,1.696210372677168,1290114.5844451224,19334379.45252828,monero
2016-03-25 00:00:00.000,1.590281635636852,732883.783955896,18143782.39688745,monero
2016-03-26 00:00:00.000,1.688081581964824,505309.9610423071,19276787.660683684,monero
2016-03-27 00:00:00.000,1.510285930634022,928177.3254340092,17260702.98402254,monero
